,date,site,temp_(°c)
0,2013-05-10,Parcel da Pombinha,22.89502702702703
1,2013-05-11,Parcel da Pombinha,22.87488888888889
2,2013-05-12,Parcel da Pombinha,22.910666666666668
3,2013-05-13,Parcel da Pombinha,22.901333333333337
4,2013-05-14,Parcel da Pombinha,22.890666666666668
5,2013-05-15,Parcel da Pombinha,22.86
6,2013-05-16,Parcel da Pombinha,22.449236111111112
7,2013-05-17,Parcel da Pombinha,21.66016666666667
8,2013-05-18,Parcel da Pombinha,21.861819444444443
9,2013-05-19,Parcel da Pombinha,21.930791666666668
10,2013-05-20,Parcel da Pombinha,22.058458333333334
11,2013-05-21,Parcel da Pombinha,21.895083333333336
12,2013-05-22,Parcel da Pombinha,21.74915277777778
13,2013-05-23,Parcel da Pombinha,21.403041666666667
14,2013-05-24,Parcel da Pombinha,21.158847222222224
15,2013-05-25,Parcel da Pombinha,20.89270833333333
16,2013-05-26,Parcel da Pombinha,20.933916666666665
17,2013-05-27,Parcel da Pombinha,20.695486111111112
18,2013-05-28,Parcel da Pombinha,20.698125
19,2013-05-29,Parcel da Pombinha,20.702083333333334
20,2013-05-30,Parcel da Pombinha,20.717916666666667
21,2013-05-31,Parcel da Pombinha,20.55238888888889
22,2013-06-01,Parcel da Pombinha,20.711402777777778
23,2013-06-02,Parcel da Pombinha,20.698125
24,2013-06-03,Parcel da Pombinha,20.66776388888889
25,2013-06-04,Parcel da Pombinha,20.549666666666663
26,2013-06-05,Parcel da Pombinha,20.52863888888889
27,2013-06-06,Parcel da Pombinha,20.516444444444446
28,2013-06-07,Parcel da Pombinha,20.352694444444445
29,2013-06-08,Parcel da Pombinha,20.207250000000002
30,2013-06-09,Parcel da Pombinha,20.184875
31,2013-06-10,Parcel da Pombinha,20.180666666666667
32,2013-06-11,Parcel da Pombinha,20.147333333333336
33,2013-06-12,Parcel da Pombinha,20.090625000000003
34,2013-06-13,Parcel da Pombinha,19.942722222222223
35,2013-06-14,Parcel da Pombinha,19.930847222222223
36,2013-06-15,Parcel da Pombinha,20.047166666666666
37,2013-06-16,Parcel da Pombinha,19.78148611111111
38,2013-06-17,Parcel da Pombinha,19.646555555555555
39,2013-06-18,Parcel da Pombinha,19.73911111111111
40,2013-06-19,Parcel da Pombinha,19.790944444444445
41,2013-06-20,Parcel da Pombinha,19.659625
42,2013-06-21,Parcel da Pombinha,19.39151388888889
43,2013-06-22,Parcel da Pombinha,19.288597222222222
44,2013-06-23,Parcel da Pombinha,18.848569444444443
45,2013-06-24,Parcel da Pombinha,18.563180555555554
46,2013-06-25,Parcel da Pombinha,18.10326388888889
47,2013-06-26,Parcel da Pombinha,18.462694444444445
48,2013-06-27,Parcel da Pombinha,18.585527777777777
49,2013-06-28,Parcel da Pombinha,17.832569444444445
50,2013-06-29,Parcel da Pombinha,17.969916666666666
51,2013-06-30,Parcel da Pombinha,18.2105
52,2013-07-01,Parcel da Pombinha,18.033236111111112
53,2013-07-02,Parcel da Pombinha,17.825972222222223
54,2013-07-03,Parcel da Pombinha,17.748125
55,2013-07-04,Parcel da Pombinha,17.858958333333334
56,2013-07-05,Parcel da Pombinha,17.789027777777775
57,2013-07-06,Parcel da Pombinha,17.873472222222222
58,2013-07-07,Parcel da Pombinha,18.894847222222225
59,2013-07-08,Parcel da Pombinha,18.737583333333333
60,2013-07-09,Parcel da Pombinha,18.19072222222222
61,2013-07-10,Parcel da Pombinha,18.071430555555555
62,2013-07-11,Parcel da Pombinha,18.2065
63,2013-07-12,Parcel da Pombinha,18.26890277777778
64,2013-07-13,Parcel da Pombinha,18.32702777777778
65,2013-07-14,Parcel da Pombinha,18.462958333333333
66,2013-07-15,Parcel da Pombinha,18.502555555555556
67,2013-07-16,Parcel da Pombinha,18.320430555555554
68,2013-07-17,Parcel da Pombinha,18.17876388888889
69,2013-07-18,Parcel da Pombinha,18.236847222222224
70,2013-07-19,Parcel da Pombinha,18.10072222222222
71,2013-07-20,Parcel da Pombinha,17.544597222222222
72,2013-07-21,Parcel da Pombinha,17.146819444444443
73,2013-07-22,Parcel da Pombinha,16.968291666666666
74,2013-07-23,Parcel da Pombinha,16.3175
75,2013-07-24,Parcel da Pombinha,16.277638888888887
76,2013-07-25,Parcel da Pombinha,16.1955
77,2013-07-26,Parcel da Pombinha,16.32534722222222
78,2013-07-27,Parcel da Pombinha,15.994277777777777
79,2013-07-28,Parcel da Pombinha,16.333125
80,2013-07-29,Parcel da Pombinha,16.084291666666665
81,2013-07-30,Parcel da Pombinha,16.240458333333333
82,2013-07-31,Parcel da Pombinha,16.22347222222222
83,2013-08-01,Parcel da Pombinha,16.354499999999998
84,2013-08-02,Parcel da Pombinha,17.133319444444442
85,2013-08-03,Parcel da Pombinha,17.79786111111111
86,2013-08-04,Parcel da Pombinha,18.00140277777778
87,2013-08-05,Parcel da Pombinha,17.43625
88,2013-08-06,Parcel da Pombinha,17.22586111111111
89,2013-08-07,Parcel da Pombinha,17.79948611111111
90,2013-08-08,Parcel da Pombinha,17.343541666666667
91,2013-08-09,Parcel da Pombinha,17.44136111111111
92,2013-08-10,Parcel da Pombinha,17.55776388888889
93,2013-08-11,Parcel da Pombinha,17.51811111111111
94,2013-08-12,Parcel da Pombinha,17.05811111111111
95,2013-08-13,Parcel da Pombinha,17.236777777777778
96,2013-08-14,Parcel da Pombinha,17.27351388888889
97,2013-08-15,Parcel da Pombinha,17.16259722222222
98,2013-08-16,Parcel da Pombinha,17.20733333333333
99,2013-08-17,Parcel da Pombinha,17.137541666666667
100,2013-08-18,Parcel da Pombinha,16.808222222222224
101,2013-08-19,Parcel da Pombinha,16.124125
102,2013-08-20,Parcel da Pombinha,16.386263888888887
103,2013-08-21,Parcel da Pombinha,17.14551388888889
104,2013-08-22,Parcel da Pombinha,16.765847222222224
105,2013-08-23,Parcel da Pombinha,16.805638888888886
106,2013-08-24,Parcel da Pombinha,16.985569444444444
107,2013-08-25,Parcel da Pombinha,17.063555555555556
108,2013-08-26,Parcel da Pombinha,17.017083333333332
109,2013-08-27,Parcel da Pombinha,16.50797222222222
110,2013-08-28,Parcel da Pombinha,16.757777777777775
111,2013-08-29,Parcel da Pombinha,16.917805555555553
112,2013-08-30,Parcel da Pombinha,16.629875
113,2013-08-31,Parcel da Pombinha,16.7025
114,2013-09-01,Parcel da Pombinha,16.641888888888886
115,2013-09-02,Parcel da Pombinha,16.669555555555554
116,2013-09-03,Parcel da Pombinha,16.709041666666668
117,2013-09-04,Parcel da Pombinha,16.840999999999998
118,2013-09-05,Parcel da Pombinha,16.725902777777776
119,2013-09-06,Parcel da Pombinha,16.875416666666666
120,2013-09-07,Parcel da Pombinha,16.944444444444443
121,2013-09-08,Parcel da Pombinha,16.980013888888887
122,2013-09-09,Parcel da Pombinha,16.899236111111108
123,2013-09-10,Parcel da Pombinha,17.05151388888889
124,2013-09-11,Parcel da Pombinha,17.638125
125,2013-09-12,Parcel da Pombinha,18.442875
126,2013-09-13,Parcel da Pombinha,18.704333333333334
127,2013-09-14,Parcel da Pombinha,18.947333333333333
128,2013-09-15,Parcel da Pombinha,18.9385
129,2013-09-16,Parcel da Pombinha,18.938444444444443
130,2013-09-17,Parcel da Pombinha,18.96088888888889
131,2013-09-18,Parcel da Pombinha,18.941097222222222
132,2013-09-19,Parcel da Pombinha,18.88275
133,2013-09-20,Parcel da Pombinha,18.866694444444445
134,2013-09-21,Parcel da Pombinha,18.866694444444445
135,2013-09-22,Parcel da Pombinha,18.791486111111112
136,2013-09-23,Parcel da Pombinha,18.837666666666664
137,2013-09-24,Parcel da Pombinha,18.773013888888887
138,2013-09-25,Parcel da Pombinha,18.711
139,2013-09-26,Parcel da Pombinha,18.466902777777776
